Ostrich,Struthio camelus,TC000001
Luzon Striped-Babbler,Zosterornis striatus,TC009736
Panay Striped-Babbler,Zosterornis latistriatus,TC009737
Negros Striped-Babbler,Zosterornis nigrorum,TC009738
Palawan Striped-Babbler,Zosterornis hypogrammicus,TC009739
Javan Gray-throated White-eye,Lophozosterops javanicus,TC009966
Streak-headed White-eye,Lophozosterops squamiceps,TC009967
Gray-hooded White-eye,Lophozosterops pinaiae,TC009968
Mindanao White-eye,Lophozosterops goodfellowi,TC009969
White-browed White-eye,Lophozosterops superciliaris,TC009970
Dark-crowned White-eye,Lophozosterops dohertyi,TC009971
Pygmy White-eye,Oculocincta squamifrons,TC009972
Flores White-eye,Heleia crassirostris,TC009973
Timor White-eye,Heleia muelleri,TC009974
Mountain Black-eye,Chlorocharis emiliae,TC009975
Bare-eyed White-eye,Woodfordia superciliosa,TC009976
Sanford's White-eye,Woodfordia lacertosa,TC009977
Giant White-eye,Megazosterops palauensis,TC009978
Truk White-eye,Rukia ruki,TC009960
Long-billed White-eye,Rukia longirostra,TC009961
Golden White-eye,Cleptornis marchei,TC009962
Bonin White-eye,Apalopteron familiare,TC009963
Rufescent White-eye,Tephrozosterops stalkeri,TC009964
Rufous-throated White-eye,Madanga ruficollis,TC009965
Golden-crowned Babbler,Sterrhoptilus dennistouni,TC009731
Black-crowned Babbler,Sterrhoptilus nigrocapitatus,TC009732
Rusty-crowned Babbler,Sterrhoptilus capitalis,TC009733
Flame-templed Babbler,Dasycrotapha speciosa,TC009734
Visayan Pygmy-Babbler,Dasycrotapha pygmaea,TC009730
Mindanao Pygmy-Babbler,Dasycrotapha plateni,TC009729
African Yellow White-eye,Zosterops senegalensis,TC009879
Cameroon Speirops,Zosterops melanocephalus,TC009876
Fernando Po Speirops,Zosterops brunneus,TC009877
Broad-ringed White-eye,Zosterops poliogastrus,TC009880
White-breasted White-eye,Zosterops abyssinicus,TC009881
Cape White-eye,Zosterops pallidus,TC009882
Pemba White-eye,Zosterops vaughani,TC009886
Mayotte White-eye,Zosterops mayottensis,TC009887
Madagascar White-eye,Zosterops maderaspatanus,TC009888
Comoro White-eye,Zosterops mouroniensis,TC009889
Black-capped Speirops,Zosterops lugubris,TC009875
Principe Speirops,Zosterops leucophoeus,TC009878
Sao Tome White-eye,Zosterops feae,TC012749
Annobon White-eye,Zosterops griseovirescens,TC009891
Principe White-eye,Zosterops ficedulinus,TC009890
Mascarene White-eye,Zosterops borbonicus,TC009892
Reunion White-eye,Zosterops olivaceus,TC009893
Mauritius White-eye,Zosterops chloronothos,TC009894
Seychelles White-eye,Zosterops modestus,TC009895
Sri Lanka White-eye,Zosterops ceylonensis,TC009896
Chestnut-flanked White-eye,Zosterops erythropleurus,TC009897
Oriental White-eye,Zosterops palpebrosus,TC009898
Japanese White-eye,Zosterops japonicus,TC009899
Lowland White-eye,Zosterops meyeni,TC009900
Enggano White-eye,Zosterops salvadorii,TC009901
Bridled White-eye,Zosterops conspicillatus,TC009902
Rota White-eye,Zosterops rotensis,TC009903
Caroline Islands White-eye,Zosterops semperi,TC009904
Plain White-eye,Zosterops hypolais,TC009905
Black-capped White-eye,Zosterops atricapilla,TC009906
Everett's White-eye,Zosterops everetti,TC009907
Yellowish White-eye,Zosterops nigrorum,TC009908
Mountain White-eye,Zosterops montanus,TC009909
Christmas Island White-eye,Zosterops natalis,TC009910
Javan White-eye,Zosterops flavus,TC009911
Lemon-bellied White-eye,Zosterops chloris,TC009912
Ashy-bellied White-eye,Zosterops citrinella,TC009913
Great Kai White-eye,Zosterops grayi,TC009914
Little Kai White-eye,Zosterops uropygialis,TC009915
Sulawesi White-eye,Zosterops consobrinorum,TC009916
Black-ringed White-eye,Zosterops anomalus,TC009917
Yellow-spectacled White-eye,Zosterops wallacei,TC009918
Black-crowned White-eye,Zosterops atrifrons,TC009919
Togian White-eye,Zosterops somadikartai,TC009920
Sangihe White-eye,Zosterops nehrkorni,TC009921
Seram White-eye,Zosterops stalkeri,TC009922
Cream-throated White-eye,Zosterops atriceps,TC009923
Black-fronted White-eye,Zosterops minor,TC009924
White-throated White-eye,Zosterops meeki,TC009925
Black-headed White-eye,Zosterops hypoxanthus,TC009926
Biak White-eye,Zosterops mysorensis,TC009927
Capped White-eye,Zosterops fuscicapilla,TC009928
Buru White-eye,Zosterops buruensis,TC009929
Ambon White-eye,Zosterops kuehni,TC009930
New Guinea White-eye,Zosterops novaeguineae,TC009931
Australian Yellow White-eye,Zosterops luteus,TC009932
Louisiade White-eye,Zosterops griseotinctus,TC009933
Rennell White-eye,Zosterops rennellianus,TC009934
Banded White-eye,Zosterops vellalavella,TC009935
Ganongga White-eye,Zosterops splendidus,TC009936
Splendid White-eye,Zosterops luteirostris,TC009937
Yellow-throated White-eye,Zosterops metcalfii,TC009938
Solomons White-eye,Zosterops kulambangrae,TC009939
Kulambangra White-eye,Zosterops murphyi,TC009940
Gray-throated White-eye,Zosterops ugiensis,TC009941
Malaita White-eye,Zosterops stresemanni,TC009942
Santa Cruz White-eye,Zosterops santaecrucis,TC009943
Vanikoro White-eye,Zosterops gibbsi,TC009944
Large Lifou White-eye,Zosterops inornatus,TC009945
Green-backed White-eye,Zosterops xanthochroa,TC009946
Small Lifou White-eye,Zosterops minutus,TC009947
Lord Howe White-eye,Zosterops tephropleurus,TC009948
Slender-billed White-eye,Zosterops tenuirostris,TC009949
Robust White-eye,Zosterops strenuus,TC009950
White-chested White-eye,Zosterops albogularis,TC009951
Layard's White-eye,Zosterops explorator,TC009952
Silver-eye,Zosterops lateralis,TC009953
Yellow-fronted White-eye,Zosterops flavifrons,TC009954
Samoan White-eye,Zosterops samoensis,TC009955
Dusky White-eye,Zosterops finschii,TC009956
Gray White-eye,Zosterops cinereus,TC009957
Yap White-eye,Zosterops oleagineus,TC009958
Chestnut-capped Babbler,Timalia pileata,TC009764
Pin-striped Tit-Babbler,Mixornis gularis,TC009756
Bold-striped Tit-Babbler,Mixornis bornensis,TC009757
Gray-cheeked Tit-Babbler,Mixornis flavicollis,TC009758
Gray-faced Tit-Babbler,Mixornis kelleyi,TC009759
Tawny-bellied Babbler,Dumetia hyperythra,TC009754
Dark-fronted Babbler,Rhopocichla atriceps,TC009755
Brown Tit-Babbler,Macronous striaticeps,TC009760
Fluffy-backed Tit-Babbler,Macronous ptilosus,TC009761
Golden Babbler,Cyanoderma chrysaeum,TC009728
Chestnut-winged Babbler,Cyanoderma erythropterum,TC009751
Crescent-chested Babbler,Cyanoderma melanothorax,TC009752
Black-chinned Babbler,Cyanoderma pyrrhops,TC009727
Rufous-capped Babbler,Cyanoderma ruficeps,TC009726
Buff-chested Babbler,Cyanoderma ambiguum,TC009724
Rufous-fronted Babbler,Cyanoderma rufifrons,TC009725
Rufous-throated Wren-Babbler,Spelaeornis caudatus,TC009712
Rusty-throated Wren-Babbler,Spelaeornis badeigularis,TC009713
Bar-winged Wren-Babbler,Spelaeornis troglodytoides,TC009714
Spotted Wren-Babbler,Spelaeornis formosus,TC009715
Long-tailed Wren-Babbler,Spelaeornis chocolatinus,TC009716
Chin Hills Wren-Babbler,Spelaeornis oatesi,TC009717
Gray-bellied Wren-Babbler,Spelaeornis reptatus,TC009718
Pale-throated Wren-Babbler,Spelaeornis kinneari,TC009719
Tawny-breasted Wren-Babbler,Spelaeornis longicaudatus,TC009720
Chevron-breasted Babbler,Sphenocichla roberti,TC009722
Red-billed Scimitar-Babbler,Pomatorhinus ochraceiceps,TC009685
Coral-billed Scimitar-Babbler,Pomatorhinus ferruginosus,TC009686
Slender-billed Scimitar-Babbler,Pomatorhinus superciliaris,TC009687
Streak-breasted Scimitar-Babbler,Pomatorhinus ruficollis,TC009683
Taiwan Scimitar-Babbler,Pomatorhinus musicus,TC009684
Indian Scimitar-Babbler,Pomatorhinus horsfieldii,TC009679
Sri Lanka Scimitar-Babbler,Pomatorhinus melanurus,TC009680
White-browed Scimitar-Babbler,Pomatorhinus schisticeps,TC009681
Chestnut-backed Scimitar-Babbler,Pomatorhinus montanus,TC009682
Large Scimitar-Babbler,Megapomatorhinus hypoleucos,TC009673
Black-necklaced Scimitar-Babbler,Megapomatorhinus erythrocnemis,TC009678
Rusty-cheeked Scimitar-Babbler,Megapomatorhinus erythrogenys,TC009674
Spot-breasted Scimitar-Babbler,Megapomatorhinus mcclellandi,TC009675
Black-streaked Scimitar-Babbler,Megapomatorhinus gravivox,TC009676
Gray-sided Scimitar-Babbler,Megapomatorhinus swinhoei,TC009677
White-breasted Babbler,Stachyris grammiceps,TC009740
Black-throated Babbler,Stachyris nigricollis,TC009748
Chestnut-rumped Babbler,Stachyris maculata,TC009750
Gray-throated Babbler,Stachyris nigriceps,TC009743
Gray-headed Babbler,Stachyris poliocephala,TC009744
White-necked Babbler,Stachyris leucotis,TC009747
White-bibbed Babbler,Stachyris thoracica,TC009749
Snowy-throated Babbler,Stachyris oglei,TC009745
Spot-necked Babbler,Stachyris striolata,TC009746
Sooty Babbler,Stachyris herberti,TC009741
Nonggang Babbler,Stachyris nonggangensis,TC009742
Blackish-breasted Babbler,Stachyris humei,TC009721
Visayan Miniature-Babbler,Micromacronus leytensis,TC009762
Mindanao Miniature-Babbler,Micromacronus sordidus,TC009763
Malia,Malia grata,TC009567
Palawan Babbler,Malacopteron palawanense,TC009656
Moustached Babbler,Malacopteron magnirostre,TC009657
Sooty-capped Babbler,Malacopteron affine,TC009658
Scaly-crowned Babbler,Malacopteron cinereum,TC009659
Rufous-crowned Babbler,Malacopteron magnum,TC009660
Gray-breasted Babbler,Malacopteron albogulare,TC009661
White-hooded Babbler,Gampsorhynchus rufulus,TC009811
Collared Babbler,Gampsorhynchus torquatus,TC009812
Yellow-throated Fulvetta,Schoeniparus cinereus,TC009825
Rufous-winged Fulvetta,Schoeniparus castaneceps,TC009826
Black-crowned Fulvetta,Schoeniparus klossi,TC009827
Rufous-throated Fulvetta,Schoeniparus rufogularis,TC009836
Dusky Fulvetta,Schoeniparus brunneus,TC009837
Rusty-capped Fulvetta,Schoeniparus dubus,TC009838
Brown Illadopsis,Illadopsis fulvescens,TC009667
Pale-breasted Illadopsis,Illadopsis rufipennis,TC009666
Mountain Illadopsis,Illadopsis pyrrhoptera,TC009668
Blackcap Illadopsis,Illadopsis cleaveri,TC009662
Scaly-breasted Illadopsis,Illadopsis albipectus,TC009663
Rufous-winged Illadopsis,Illadopsis rufescens,TC009664
Puvel's Illadopsis,Illadopsis puveli,TC009665
Thrush Babbler,Illadopsis turdina,TC009672
Puff-throated Babbler,Pellorneum ruficeps,TC009654
Black-capped Babbler,Pellorneum capistratum,TC009655
Brown-capped Babbler,Pellorneum fuscocapillus,TC009649
Marsh Babbler,Pellorneum palustre,TC009650
Spot-throated Babbler,Pellorneum albiventre,TC009653
Buff-breasted Babbler,Pellorneum tickelli,TC009651
Sumatran Babbler,Pellorneum buettikoferi,TC012826
Temminck's Babbler,Pellorneum pyrrogenys,TC009652
Short-tailed Babbler,Pellorneum malaccense,TC009647
Ashy-headed Babbler,Pellorneum cinereiceps,TC009648
White-chested Babbler,Pellorneum rostratum,TC009640
Sulawesi Babbler,Pellorneum celebense,TC009641
Ferruginous Babbler,Pellorneum bicolor,TC009642
Striped Wren-Babbler,Kenopia striata,TC009697
Eyebrowed Wren-Babbler,Napothera epilepidota,TC009705
Short-tailed Scimitar-Babbler,Napothera danjoui,TC013140
Long-billed Wren-Babbler,Napothera malacoptila,TC009690
White-throated Wren-Babbler,Napothera pasquieri,TC009691
Sumatran Wren-Babbler,Napothera albostriata,TC009692
Bornean Wren-Babbler,Ptilocichla leucogrammica,TC009693
Striated Wren-Babbler,Ptilocichla mindanensis,TC009694
Falcated Wren-Babbler,Ptilocichla falcata,TC009695
Abbott's Babbler,Turdinus abbotti,TC009644
Horsfield's Babbler,Turdinus sepiarius,TC009645
Black-browed Babbler,Turdinus perspicillatus,TC009646
Large Wren-Babbler,Turdinus macrodactylus,TC009698
Rusty-breasted Wren-Babbler,Turdinus rufipectus,TC009699
Black-throated Wren-Babbler,Turdinus atrigularis,TC009700
Marbled Wren-Babbler,Turdinus marmoratus,TC009701
Limestone Wren-Babbler,Turdinus crispifrons,TC009702
Streaked Wren-Babbler,Turdinus brevicaudatus,TC009703
Mountain Wren-Babbler,Turdinus crassus,TC009704
Indian Grassbird,Graminicola bengalensis,TC009696
Chinese Grassbird,Graminicola striatus,TC013708
Bagobo Babbler,Leonardina woodi,TC009643
Rusty-faced Babbler,Robsonius rabori,TC009706
Gray-banded Babbler,Robsonius sorsogonensis,TC009707
Gold-fronted Fulvetta,Alcippe variegaticeps,TC009824
Ludlow's Fulvetta,Alcippe ludlowi,TC009835
Brown Fulvetta,Alcippe brunneicauda,TC009839
Brown-cheeked Fulvetta,Alcippe poioicephala,TC009840
Gray-cheeked Fulvetta,Alcippe morrisonia,TC009841
Yunnan Fulvetta,Alcippe fratercula,TC012542
David's Fulvetta,Alcippe davidi,TC012541
Huet's Fulvetta,Alcippe hueti,TC012543
Javan Fulvetta,Alcippe pyrrhoptera,TC009842
Mountain Fulvetta,Alcippe peracensis,TC009843
Nepal Fulvetta,Alcippe nipalensis,TC009845
Black-browed Fulvetta,Alcippe grotei,TC009844
Striated Laughingthrush,Grammatoptila striata,TC009580
Himalayan Cutia,Cutia nipalensis,TC009804
Vietnamese Cutia,Cutia legalleni,TC009805
Spiny Babbler,Turdoides nipalensis,TC009765
Iraq Babbler,Turdoides altirostris,TC009766
Afghan Babbler,Turdoides huttoni,TC009768
Common Babbler,Turdoides caudata,TC009769
Striated Babbler,Turdoides earlei,TC009770
White-throated Babbler,Turdoides gularis,TC009771
Slender-billed Babbler,Turdoides longirostris,TC009772
Large Gray Babbler,Turdoides malcolmi,TC009773
Arabian Babbler,Turdoides squamiceps,TC009774
Fulvous Chatterer,Turdoides fulva,TC009775
Scaly Chatterer,Turdoides aylmeri,TC009776
Rufous Chatterer,Turdoides rubiginosa,TC009777
Rufous Babbler,Turdoides subrufa,TC009778
Jungle Babbler,Turdoides striata,TC009779
Orange-billed Babbler,Turdoides rufescens,TC009780
Yellow-billed Babbler,Turdoides affinis,TC009781
Blackcap Babbler,Turdoides reinwardtii,TC009782
Dusky Babbler,Turdoides tenebrosa,TC009783
Black-lored Babbler,Turdoides sharpei,TC009784
Hartlaub's Babbler,Turdoides hartlaubii,TC009785
Black-faced Babbler,Turdoides melanops,TC009786
Scaly Babbler,Turdoides squamulata,TC009787
White-rumped Babbler,Turdoides leucopygia,TC009788
Southern Pied-Babbler,Turdoides bicolor,TC009789
Northern Pied-Babbler,Turdoides hypoleuca,TC009790
Hinde's Pied-Babbler,Turdoides hindei,TC009791
Cretzschmar's Babbler,Turdoides leucocephala,TC009792
Brown Babbler,Turdoides plebejus,TC009793
Arrow-marked Babbler,Turdoides jardineii,TC009794
Bare-cheeked Babbler,Turdoides gymnogenys,TC009795
White-throated Mountain-Babbler,Turdoides gilberti,TC009848
Red-collared Mountain-Babbler,Turdoides rufocincta,TC009849
Chapin's Mountain-Babbler,Turdoides chapini,TC009850
Capuchin Babbler,Turdoides atripennis,TC009852
Ashy-headed Laughingthrush,Garrulax cinereifrons,TC009568
Sunda Laughingthrush,Garrulax palliatus,TC009569
Rufous-fronted Laughingthrush,Garrulax rufifrons,TC009570
Masked Laughingthrush,Garrulax perspicillatus,TC009571
White-crested Laughingthrush,Garrulax leucolophus,TC009574
Sumatran Laughingthrush,Garrulax bicolor,TC009575
Lesser Necklaced Laughingthrush,Garrulax monileger,TC009576
Black Laughingthrush,Garrulax lugubris,TC009578
Bare-headed Laughingthrush,Garrulax calvus,TC009579
White-necked Laughingthrush,Garrulax strepitans,TC009581
Cambodian Laughingthrush,Garrulax ferrarius,TC009582
Black-hooded Laughingthrush,Garrulax milleti,TC009583
Gray Laughingthrush,Garrulax maesi,TC009584
Rufous-cheeked Laughingthrush,Garrulax castanotis,TC009585
Spot-breasted Laughingthrush,Garrulax merulinus,TC009607
Orange-breasted Laughingthrush,Garrulax annamensis,TC009608
Chinese Hwamei,Garrulax canorus,TC009609
Taiwan Hwamei,Garrulax taewanus,TC009610
Sukatschev's Laughingthrush,Ianthocincla sukatschewi,TC009595
Moustached Laughingthrush,Ianthocincla cineracea,TC009596
Rufous-chinned Laughingthrush,Ianthocincla rufogularis,TC009597
Chestnut-eared Laughingthrush,Ianthocincla konkakinhensis,TC009598
Spotted Laughingthrush,Ianthocincla ocellata,TC009599
Barred Laughingthrush,Ianthocincla lunulata,TC009600
Biet's Laughingthrush,Ianthocincla bieti,TC009601
Giant Laughingthrush,Ianthocincla maxima,TC009602
Greater Necklaced Laughingthrush,Ianthocincla pectoralis,TC009577
White-throated Laughingthrush,Ianthocincla albogularis,TC009572
Rufous-crowned Laughingthrush,Ianthocincla ruficeps,TC009573
Rufous-necked Laughingthrush,Ianthocincla ruficollis,TC009586
Chestnut-backed Laughingthrush,Ianthocincla nuchalis,TC009587
Black-throated Laughingthrush,Ianthocincla chinensis,TC009588
White-cheeked Laughingthrush,Ianthocincla vassali,TC009589
Yellow-throated Laughingthrush,Ianthocincla galbana,TC009590
Blue-crowned Laughingthrush,Ianthocincla courtoisi,TC009591
Wynaad Laughingthrush,Ianthocincla delesserti,TC009592
Rufous-vented Laughingthrush,Ianthocincla gularis,TC009593
Pere David's Laughingthrush,Ianthocincla davidi,TC009594
Gray-sided Laughingthrush,Ianthocincla caerulata,TC009603
Rusty Laughingthrush,Ianthocincla poecilorhyncha,TC009604
Buffy Laughingthrush,Ianthocincla berthemyi,TC009605
Chestnut-capped Laughingthrush,Ianthocincla mitrata,TC012362
Chestnut-hooded Laughingthrush,Ianthocincla treacheri,TC013107
White-browed Laughingthrush,Ianthocincla sannio,TC009611
Chinese Babax,Ianthocincla lanceolata,TC009797
Giant Babax,Ianthocincla waddelli,TC009800
Tibetan Babax,Ianthocincla koslowi,TC009801
Black-chinned Laughingthrush,Trochalopteron cachinnans,TC009612
Kerala Laughingthrush,Trochalopteron fairbanki,TC013712
Streaked Laughingthrush,Trochalopteron lineatum,TC009614
Bhutan Laughingthrush,Trochalopteron imbricatum,TC009615
Striped Laughingthrush,Trochalopteron virgatum,TC009616
Scaly Laughingthrush,Trochalopteron subunicolor,TC009617
Brown-capped Laughingthrush,Trochalopteron austeni,TC009618
Blue-winged Laughingthrush,Trochalopteron squamatum,TC009619
Elliot's Laughingthrush,Trochalopteron elliotii,TC009620
Variegated Laughingthrush,Trochalopteron variegatum,TC009621
Prince Henry's Laughingthrush,Trochalopteron henrici,TC009622
Black-faced Laughingthrush,Trochalopteron affine,TC009623
White-whiskered Laughingthrush,Trochalopteron morrisonianum,TC009624
Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum,TC009625
Assam Laughingthrush,Trochalopteron chrysopterum,TC009626
Silver-eared Laughingthrush,Trochalopteron melanostigma,TC009627
Malayan Laughingthrush,Trochalopteron peninsulae,TC009628
Golden-winged Laughingthrush,Trochalopteron ngoclinhensis,TC009629
Collared Laughingthrush,Trochalopteron yersini,TC009630
Red-winged Laughingthrush,Trochalopteron formosum,TC009631
Red-tailed Laughingthrush,Trochalopteron milnei,TC009632
Rufous Sibia,Heterophasia capistrata,TC009856
Gray Sibia,Heterophasia gracilis,TC009857
Black-backed Sibia,Heterophasia melanoleuca,TC009858
Black-headed Sibia,Heterophasia desgodinsi,TC009859
White-eared Sibia,Heterophasia auricularis,TC009860
Beautiful Sibia,Heterophasia pulchella,TC009861
Long-tailed Sibia,Heterophasia picaoides,TC009862
Silver-eared Mesia,Leiothrix argentauris,TC009802
Red-billed Leiothrix,Leiothrix lutea,TC009803
Red-tailed Minla,Minla ignotincta,TC009822
Rufous-backed Sibia,Minla annectens,TC009855
Gray-crowned Crocias,Crocias langbianis,TC009853
Spotted Crocias,Crocias albonotatus,TC009854
Gray-faced Liocichla,Liocichla omeiensis,TC009634
Bugun Liocichla,Liocichla bugunorum,TC009635
Steere's Liocichla,Liocichla steerii,TC009636
Red-faced Liocichla,Liocichla phoenicea,TC012714
Scarlet-faced Liocichla,Liocichla ripponi,TC012715
Black-crowned Barwing,Actinodura sodangorum,TC009815
Hoary-throated Barwing,Actinodura nipalensis,TC009816
Streak-throated Barwing,Actinodura waldeni,TC009817
Streaked Barwing,Actinodura souliei,TC009818
Taiwan Barwing,Actinodura morrisoniana,TC009819
Rusty-fronted Barwing,Actinodura egertoni,TC009813
Spectacled Barwing,Actinodura ramsayi,TC009814
Blue-winged Minla,Actinodura cyanouroptera,TC009820
Chestnut-tailed Minla,Actinodura strigula,TC009821
Gurney's Sugarbird,Promerops gurneyi,TC009032
Cape Sugarbird,Promerops cafer,TC009033
Spot-throat,Modulatrix stictigula,TC009638
Dapple-throat,Arcanator orostruthus,TC009639
Gray-chested Illadopsis,Kakamega poliothorax,TC009670
Asian Fairy-bluebird,Irena puella,TC009034
Philippine Fairy-bluebird,Irena cyanogastra,TC009035
Yellow-bellied Hyliota,Hyliota flavigaster,TC009036
Southern Hyliota,Hyliota australis,TC009037
Usambara Hyliota,Hyliota usambarae,TC009038
Violet-backed Hyliota,Hyliota violacea,TC009039
Silverbird,Empidornis semipartitus,TC009040
Pale Flycatcher,Bradornis pallidus,TC009041
Chat Flycatcher,Bradornis infuscatus,TC009042
Mariqua Flycatcher,Bradornis mariquensis,TC009043
Grayish Flycatcher,Bradornis microrhynchus,TC009044
Angola Slaty-Flycatcher,Melaenornis brunneus,TC009045
White-eyed Slaty-Flycatcher,Melaenornis fischeri,TC009046
Abyssinian Slaty-Flycatcher,Melaenornis chocolatinus,TC009047
Northern Black-Flycatcher,Melaenornis edolioides,TC009048
Southern Black-Flycatcher,Melaenornis pammelaina,TC009049
Yellow-eyed Black-Flycatcher,Melaenornis ardesiacus,TC009050
Nimba Flycatcher,Melaenornis annamarulae,TC009051
African Forest-Flycatcher,Fraseria ocreata,TC009052
White-browed Forest-Flycatcher,Fraseria cinerascens,TC009053
Fiscal Flycatcher,Sigelus silens,TC009054
Spotted Flycatcher,Muscicapa striata,TC009066
Gambaga Flycatcher,Muscicapa gambagae,TC009067
Dark-sided Flycatcher,Muscicapa sibirica,TC009068
Asian Brown Flycatcher,Muscicapa latirostris,TC009070
Brown-streaked Flycatcher,Muscicapa williamsoni,TC009071
Gray-streaked Flycatcher,Muscicapa griseisticta,TC009069
Ashy-breasted Flycatcher,Muscicapa randi,TC009072
Sumba Brown Flycatcher,Muscicapa segregata,TC009073
Rusty-tailed Flycatcher,Muscicapa ruficauda,TC009074
Brown-breasted Flycatcher,Muscicapa muttui,TC009075
Ferruginous Flycatcher,Muscicapa ferruginea,TC009076
Ussher's Flycatcher,Muscicapa ussheri,TC009077
Sooty Flycatcher,Muscicapa infuscata,TC009078
Boehm's Flycatcher,Muscicapa boehmi,TC009079
Swamp Flycatcher,Muscicapa aquatica,TC009080
Olivaceous Flycatcher,Muscicapa olivascens,TC009081
Chapin's Flycatcher,Muscicapa lendu,TC009082
Dusky-brown Flycatcher,Muscicapa adusta,TC009083
Little Flycatcher,Muscicapa epulata,TC009084
Yellow-footed Flycatcher,Muscicapa sethsmithi,TC009085
Dusky-blue Flycatcher,Muscicapa comitata,TC009086
Tessmann's Flycatcher,Muscicapa tessmanni,TC009087
Cassin's Flycatcher,Muscicapa cassini,TC009088
Ashy Flycatcher,Muscicapa caerulescens,TC009089
Gray-throated Tit-Flycatcher,Myioparus griseigularis,TC009091
Gray Tit-Flycatcher,Myioparus plumbeus,TC009092
Grand Comoro Flycatcher,Humblotia flavirostris,TC009093
Fire-crested Alethe,Alethe diademata,TC009565
Karoo Scrub-Robin,Cercotrichas coryphaeus,TC009230
Forest Scrub-Robin,Cercotrichas leucosticta,TC009221
Brown Scrub-Robin,Cercotrichas signata,TC009224
Bearded Scrub-Robin,Cercotrichas quadrivirgata,TC009222
Miombo Scrub-Robin,Cercotrichas barbata,TC009223
Black Scrub-Robin,Cercotrichas podobe,TC009231
Rufous-tailed Scrub-Robin,Cercotrichas galactotes,TC009227
African Scrub-Robin,Cercotrichas minor,TC009229
Kalahari Scrub-Robin,Cercotrichas paena,TC009228
Brown-backed Scrub-Robin,Cercotrichas hartlaubi,TC009225
Red-backed Scrub-Robin,Cercotrichas leucophrys,TC009226
Herero Chat,Namibornis herero,TC009233
Indian Robin,Copsychus fulicatus,TC009242
Oriental Magpie-Robin,Copsychus saularis,TC009235
Rufous-tailed Shama,Copsychus pyrropygus,TC009241
Madagascar Magpie-Robin,Copsychus albospecularis,TC009234
Seychelles Magpie-Robin,Copsychus sechellarum,TC009237
Philippine Magpie-Robin,Copsychus mindanensis,TC012683
White-rumped Shama,Copsychus malabaricus,TC009236
Andaman Shama,Copsychus albiventris,TC012226
White-browed Shama,Copsychus luzoniensis,TC009238
Visayan Shama,Copsychus superciliaris,TC013063
White-vented Shama,Copsychus niger,TC009239
Black Shama,Copsychus cebuensis,TC009240
White-gorgeted Flycatcher,Anthipes monileger,TC009111
Rufous-browed Flycatcher,Anthipes solitaris,TC009112
Matinan Flycatcher,Cyornis sanfordi,TC009143
Blue-fronted Flycatcher,Cyornis hoevelli,TC009144
Timor Blue-Flycatcher,Cyornis hyacinthinus,TC009145
White-tailed Flycatcher,Cyornis concretus,TC009146
Rueck's Blue-Flycatcher,Cyornis ruckii,TC009147
Blue-breasted Flycatcher,Cyornis herioti,TC009148
Hainan Blue-Flycatcher,Cyornis hainanus,TC009149
White-bellied Blue-Flycatcher,Cyornis pallipes,TC009150
Pale-chinned Blue-Flycatcher,Cyornis poliogenys,TC009151
Pale Blue-Flycatcher,Cyornis unicolor,TC009152
Blue-throated Flycatcher,Cyornis rubeculoides,TC009153
Large Blue-Flycatcher,Cyornis magnirostris,TC012587
Hill Blue-Flycatcher,Cyornis banyumas,TC009154
Long-billed Blue-Flycatcher,Cyornis caerulatus,TC009155
Malaysian Blue-Flycatcher,Cyornis turcosus,TC009156
Palawan Blue-Flycatcher,Cyornis lemprieri,TC009157
Bornean Blue-Flycatcher,Cyornis superbus,TC009158
Tickell's Blue-Flycatcher,Cyornis tickelliae,TC009159
Mangrove Blue-Flycatcher,Cyornis rufigastra,TC009160
Sulawesi Blue-Flycatcher,Cyornis omissus,TC009161
Brown-chested Jungle-Flycatcher,Cyornis brunneatus,TC009057
Nicobar Jungle-Flycatcher,Cyornis nicobaricus,TC012662
Gray-chested Jungle-Flycatcher,Cyornis umbratilis,TC009058
Fulvous-chested Jungle-Flycatcher,Cyornis olivaceus,TC009059
Flores Jungle-Flycatcher,Cyornis oscillans,TC009056
Chestnut-tailed Jungle-Flycatcher,Cyornis ruficauda,TC009060
Henna-tailed Jungle-Flycatcher,Cyornis colonus,TC009061
Large Niltava,Niltava grandis,TC009136
Small Niltava,Niltava macgrigoriae,TC009137
Fujian Niltava,Niltava davidi,TC009138
Rufous-bellied Niltava,Niltava sundara,TC009139
Rufous-vented Niltava,Niltava sumatrana,TC009140
Vivid Niltava,Niltava vivida,TC009141
Pygmy Blue-Flycatcher,Muscicapella hodgsoni,TC009163
Blue-and-white Flycatcher,Cyanoptila cyanomelana,TC009130
Dull-blue Flycatcher,Eumyias sordidus,TC009132
Nilgiri Flycatcher,Eumyias albicaudatus,TC009134
Indigo Flycatcher,Eumyias indigo,TC009135
Verditer Flycatcher,Eumyias thalassinus,TC009131
Buru Jungle-Flycatcher,Eumyias additus,TC009055
Island Flycatcher,Eumyias panayensis,TC009133
White-bellied Robin-Chat,Cossyphicula roberti,TC009201
Mountain Robin-Chat,Cossypha isabellae,TC009202
Archer's Robin-Chat,Cossypha archeri,TC009203
Olive-flanked Robin-Chat,Cossypha anomala,TC009204
Cape Robin-Chat,Cossypha caffra,TC009205
White-throated Robin-Chat,Cossypha humeralis,TC009206
